_id,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,overall_rating
10006546,9.0,10.0,9.0,10.0,10.0,89.0,9.0,9.414285714285715
10009999,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
1001265,9.0,9.0,8.0,9.0,10.0,84.0,9.0,8.914285714285715
10021707,10.0,10.0,10.0,10.0,8.0,100.0,8.0,9.428571428571429
10030955,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
1003530,10.0,10.0,9.0,10.0,10.0,94.0,10.0,9.771428571428572
10038496,10.0,10.0,10.0,10.0,10.0,98.0,10.0,9.971428571428572
10047964,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0
10051164,10.0,8.0,6.0,8.0,8.0,80.0,8.0,8.0
10057447,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10057826,9.0,10.0,10.0,8.0,9.0,88.0,9.0,9.114285714285714
10059244,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10059872,10.0,10.0,10.0,10.0,10.0,100.0,8.0,9.714285714285714
10066928,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10069642,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10082307,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10082422,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10083468,10.0,10.0,10.0,10.0,10.0,97.0,10.0,9.957142857142857
10084023,10.0,10.0,8.0,10.0,10.0,92.0,10.0,9.6
10091713,10.0,10.0,9.0,10.0,10.0,95.0,9.0,9.642857142857142
10092679,10.0,10.0,9.0,10.0,9.0,99.0,10.0,9.700000000000001
10096773,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0
10108388,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0
10109896,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10112159,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10115921,7.0,8.0,7.0,8.0,10.0,67.0,7.0,7.671428571428572
10116256,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10116578,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10117617,10.0,10.0,10.0,10.0,9.0,96.0,10.0,9.799999999999999
10120414,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10133350,9.0,10.0,8.0,9.0,9.0,90.0,9.0,9.0
10133554,9.0,10.0,9.0,10.0,10.0,92.0,9.0,9.457142857142857
10138784,10.0,10.0,10.0,10.0,9.0,99.0,10.0,9.842857142857143
10140368,10.0,10.0,10.0,10.0,9.0,95.0,10.0,9.785714285714286
10141950,10.0,10.0,10.0,10.0,10.0,100.0,10.0,10.0
10166883,10.0,10.0,9.0,10.0,9.0,95.0,9.0,9.5
10166986,10.0,10.0,8.0,10.0,10.0,100.0,10.0,9.714285714285714
1016739,10.0,10.0,10.0,10.0,10.0,100.0,9.0,9.857142857142858
10184012,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10186755,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
1019168,10.0,10.0,9.0,10.0,10.0,98.0,10.0,9.828571428571427
10199760,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
10201975,9.0,10.0,10.0,10.0,10.0,92.0,9.0,9.6
10209136,10.0,9.0,10.0,9.0,10.0,95.0,9.0,9.5
10213499,10.0,10.0,10.0,10.0,10.0,97.0,10.0,9.957142857142857
10215858,8.0,9.0,7.0,8.0,10.0,73.0,8.0,8.185714285714285
10220130,9.557489580779603,9.699264705882353,9.315286624203821,9.688311688311689,9.601078167115903,93.09924038225925,9.305147058823529,9.497329314453946
1022200,10.0,10.0,8.0,10.0,10.0,100.0,10.0,9.714285714285714
10227000,10.0,10.0,10.0,8.0,10.0,100.0,10.0,9.714285714285714
10228731,8.0,10.0,10.0,10.0,10.0,100.0,10.0,9.714285714285714
10233856,8.0,9.0,9.0,9.0,10.0,83.0,9.0,8.9
10240767,10.0,10.0,10.0,10.0,9.0,96.0,9.0,9.657142857142857
10264100,10.0,10.0,9.0,10.0,10.0,100.0,10.0,9.857142857142858
10266175,10.0,10.0,10.0,10.0,9.0,98.0,9.0,9.685714285714285
10267144,10.0,10.0,10.0,10.0,10.0,99.0,10.0,9.985714285714286
10269320,10.0,10.0,10.0,10.0,10.0,96.0,10.0,9.942857142857141
10280433,10.0,10.0,10.0,10.0,10.0,99.0,10.0,9.985714285714286
